t,px,py,pz,vx,vy,vz,bax,bay,baz,wx,wy,wz,sigma_px,sigma_py,sigma_pz,sigma_vx,sigma_vy,sigma_vz,sigma_bax,sigma_bay,sigma_baz,sigma_wx,sigma_wy,sigma_wz,gps_used,gps_rejected,innovation_pos_norm,innovation_vel_norm
17.74,200.05526517232,-173.982405257757,-792.599431483706,7.58916121405206,-9.8851533251951,-53.5850635384575,0,0,0,0,0,0,120.288238349084,120.288238349084,120.288238349084,10.3716974155632,10.3716974155632,10.3716974155632,0.515736366761174,0.515736366761174,0.515736366761174,3.11615147256996,3.11615147256996,3.11615147256996,0,0,NaN,NaN
17.76,200.20691919281,-174.180094058697,-793.671106734618,7.57624083497263,-9.88372676882455,-53.5824615527138,0,0,0,0,0,0,120.483221061303,120.483221061303,120.483221061303,10.380644719708,10.380644719708,10.380644719708,0.515753817242312,0.515753817242312,0.515753817242312,3.11627983339108,3.11627983339108,3.11627983339108,0,0,NaN,NaN
17.78,200.358331845554,-174.377747889366,-794.742734963258,7.56502443949139,-9.88165629804353,-53.5803613113632,0,0,0,0,0,0,120.67837938028,120.67837938028,120.67837938028,10.3895945593657,10.3895945593657,10.3895945593657,0.515771267133034,0.515771267133034,0.515771267133034,3.11640818892518,3.11640818892518,3.11640818892518,0,0,NaN,NaN
17.8,200.509495418677,-174.575380463492,-795.814325551483,7.55133287273295,-9.88160111450954,-53.5786975110495,0,0,0,0,0,0,120.873713374025,120.873713374025,120.873713374025,10.3985469286819,10.3985469286819,10.3985469286819,0.515788716433402,0.515788716433402,0.515788716433402,3.11653653917292,3.11653653917292,3.11653653917292,0,0,NaN,NaN
17.82,200.660383617552,-174.773023254871,-796.885882064664,7.53748701480356,-9.88267802345876,-53.5769538070149,0,0,0,0,0,0,121.069223110402,121.069223110402,121.069223110402,10.4075018218207,10.4075018218207,10.4075018218207,0.515806165143473,0.515806165143473,0.515806165143473,3.11666488413495,3.11666488413495,3.11666488413495,0,0,NaN,NaN
17.84,200.811007520871,-174.970673991992,-797.957407996845,7.52490331710359,-9.88239568865874,-53.5756394110899,0,0,0,0,0,0,121.264908657125,121.264908657125,121.264908657125,10.416459232964,10.416459232964,10.416459232964,0.515823613263309,0.515823613263309,0.515823613263309,3.11679322381192,3.11679322381192,3.11679322381192,0,0,NaN,NaN
17.86,200.961365666534,-175.168320905011,-799.028890694314,7.51091124915097,-9.882295613208,-53.5726303358714,0,0,0,0,0,0,121.460770081761,121.460770081761,121.460770081761,10.4254191563122,10.4254191563122,10.4254191563122,0.51584106079297,0.51584106079297,0.51584106079297,3.11692155820449,3.11692155820449,3.11692155820449,0,0,NaN,NaN
17.88,201.111462249241,-175.365966320715,-800.100312093632,7.49874702159567,-9.88224595719716,-53.5695095958611,0,0,0,0,0,0,121.656807451727,121.656807451727,121.656807451727,10.4343815860836,10.4343815860836,10.4343815860836,0.515858507732514,0.515858507732514,0.515858507732514,3.11704988731331,3.11704988731331,3.11704988731331,0,0,NaN,NaN
17.9,201.26132188552,-175.563620992615,-801.171675587324,7.48721660624554,-9.88322123277704,-53.5668397733932,0,0,0,0,0,0,121.853020834295,121.853020834295,121.853020834295,10.4433465165147,10.4433465165147,10.4433465165147,0.515875954082002,0.515875954082002,0.515875954082002,3.11717821113903,3.11717821113903,3.11717821113903,0,0,NaN,NaN
17.92,201.410932618297,-175.761287499044,-802.243007072923,7.473856671465,-9.88342941018104,-53.5663087865112,0,0,0,0,0,0,122.049410296587,122.049410296587,122.049410296587,10.45231394186,10.45231394186,10.45231394186,0.515893399841495,0.515893399841495,0.515893399841495,3.1173065296823,3.1173065296823,3.1173065296823,0,0,NaN,NaN
